,Brand,Best_Seller,Best_Seller_Rating
0,2K Games,BEYOND TOYS AND GIFTS,4.069368690851468
1,3M,Autofurnish India,4.6478721041371465
2,A & T,Bonbury,3.2285743188155167
3,A C SPORTS,Sports Hub 1448,3.564106825204364
4,A'la Mode Creation,Excel India Online,2.8893658872081454
5,A-DATA,Peach Imports,4.069368690851468
6,AADHISHA,AADHISHA,3.1886914685722827
7,ABS AUTO TREND,SHREE JI TM,3.611797737395344
8,ABYS,L. B. PRINERS,3.840579011187131
9,ACTIVISION,BEYOND TOYS AND GIFTS,4.40989923026466
10,ADISA,ADISA International,3.3202328536993413
11,AL FASCINO,gostuffs,3.435635246063653
12,AM LEATHER,AM Leather,3.40189845051858
13,AMAZING HEALTH SOLUTION,S bags & Luggage,3.7629825979295783
14,AMAZON PAY,Shoora Retail,2.885470794395563
15,AMERICAN MICRONIC,Cloudtail India,3.655834299806908
16,AMG Digital,AMG Digital Store,3.5703285222735164
17,AO Smith,Galaxy Shopee,3.978975304242757
18,AOC,M.P.Enterprises,3.746353756020948
19,APACS,Triple Point Ventures,4.308351984182487
20,APPUCOCO,MAXBOOST,3.435044669581287
21,ART N HUB,Art N Hub,3.5242786154645316
22,ASE YOGA INDIA,ABID SHARIQ ENTERPRISES,3.493351040128755
23,ASTEROID,SR ELECTRONIC,4.129471963431477
24,ASkyl,Stvin®ASkyl®(OFFICIAL STORE),3.2435312985436267
25,ATC PREMIUM,Weird®Store,3.484051255929982
26,AURION,TrishaEnterprises,3.966251785566294
27,AUXTER,Ambika Gems and Diamond,4.0998723989676025
28,AVM,Durga234,4.238295956671192
29,AVS STORE,avsstore,3.2939374945031785
30,AVS STORE®,avsstore,2.967438498139304
31,Aai,RaJ,3.999056311229503
32,Aamir Khan,RADIO & GRAMOPHONE HOUSE,4.567415506845638
33,Accezory,Cloudtail India,4.130521630007868
34,Acer,TPS Technologies,4.187021648634791
35,Acorn,ACORNSPORT,3.534105343293563
36,Activa,SHOP 24/7,3.8512369189514213
37,Adcom,Adcom India,3.0721159208618483
38,Advind Healthcare,Advind Healthcare,4.281142656831848
39,Aftab,fakhir associates,2.8569016210172187
40,Ahmedabad Cotton,GSDECOR,4.0353143676062535
41,AirCase,iStuff365,4.191461727624777
42,Airmaker,AIRMAKER Foot Pump®,4.128773728200975
43,Airtel,SAB KA SOLUTION ONLINE,4.474825226140932
44,Ajay Devgan,Pritam Music Pvt. Ltd.,3.4339588414396287
45,Akshar Chem,Rotz®,3.898341044357317
46,Akshay Kumar,shopping24x7,4.305105779095482
47,Alden Ehrenreich,Music&more,3.769486240219164
48,Alexvyan,AlexVyan_Brothers,2.936128841648834
49,Alfisha,alfisha,2.7280991757864843
50,Alia Bhatt,RADIO & GRAMOPHONE HOUSE,4.018325050347077
51,Alice,A B MUSICAL STORES & ACCESSORIES,4.463589392984546
52,Alicia Souza,Futurewagon Private Limited,4.0817964090686845
53,Allin Exporters,Bazzar 4 Deals,3.3947913569677226
54,Allxpert,Brands at Discount,4.162859920358986
55,Amazon,4 U Marketing,4.041929364043033
56,Amazon Pay,QwikCilver Solutions Pvt. Ltd,3.6774928651665055
57,AmazonBasics,Cloudtail India,3.4395461072518017
58,Ambi Pur,amit car accessories aurangabad,4.098183901648602
59,Ambrane,coverReady,4.630358097259324
60,American Tourister,Gulati marketing Corporation,4.127474320630768
61,Amitabh Bachchan,World Motion,4.426436737674697
62,Amitabh Bachhan,shopping24x7,3.844303205365919
63,Amjad Ali Khan,Pritam Music Pvt. Ltd.,3.5265518590239835
64,Amkette,Game X,4.112307766389059
65,Amy Poehler,Music&more,3.455526487522569
66,Angelina Jolie,Smart Buy Movies,3.998713421664711
67,Anker,Flash Distribution,3.742193321827342
68,Ant Audio,Appario Retail Private Ltd,4.138834473054732
69,Antony Starr,Excel Innovators,3.603038411243527
70,Anycast,mayur    traders,3.4074768537256612
71,ApTechDeals,ApTechDeals®,3.2552554760218135
72,Apple,Appario Retail Private Ltd,3.6066053224635977
73,Apsara,DTL Company,4.311979144681821
74,AraNxt,Lakshita Shop!!,3.882265794011285
75,Aristocrat,GoTo Style Mart,3.869911826791802
76,Arlo Technologies,Cart2India Online,2.397141457744161
77,Artis,Appario Retail Private Ltd,3.661784887725392
78,Aruna Sairam,Amutham Music Private Limited,3.3750919751420905
79,Asitis Nutrition,My Nutra Mart,3.722809907298157
80,Assembled Desktop,SSD Enterprisess,4.135390539958762
81,Asus,Online IT World,4.528800622756009
82,Aurodo,AURODO,2.3020748115194483
83,Authtentic,INDIAS HEART,3.518195676407661
84,AutoTrends,Oero Pvt ltd,4.266255464306928
85,Autofurnish,Autofurnish India,3.3328749469809864
86,Autofy,Cloudtail India,3.512066149804907
87,Autopearl,FabSeasons,3.716275234960386
88,Autosol,Cloudtail India,4.038615482304106
89,Autosun,24X7 SHOPPING ONLINE,3.4285888665237074
90,Autowizard,ogre,4.097471272662121
91,Aveeno,Shrinika baby house,4.4430840304041705
92,Axxeum,AXXEUM,3.916793914986593
93,Ayushmann Khurrana,RADIO & GRAMOPHONE HOUSE,4.134543065534634
94,BEE,Music Tycoons,3.2553379047869773
95,BIPM,VSS Inc,4.2574984608680175
96,BLACK+DECKER,dealerkart,4.035648654919095
97,BODYGRIP,Cloudtail India,3.10647168649748
98,BOGESI,Bhavans Enterprises,3.7611310466416286
99,BPL,Cloudtail India,3.359078619829428
100,BRANDONN,Brandonn Fashions,3.0619722414072252
101,Baby Bucket,Baby Bucket,3.443060682689394
102,Baby Dove,Cloudtail India,4.100818234335188
103,BabyGo,Cloudtail India,3.7418839945542497
104,Backpack,Innovegic Mart,4.199271048710288
105,BagsRUs,Bags-R-Us,4.179340414542485
106,Baijnath Premnath,Baijnath Premnath,3.570380755465843
107,Bajaj,ABR Trading Co,4.534358080117429
108,Bandai,# Global Hub,4.5853220795734915
109,Batman,Bioworld,3.974835693390468
110,Behringer,Ambience eCom,4.06202126719108
111,Belkin,Krishna Computers indore,4.071877460546472
112,BenQ,FastDealsIndia,4.433770707103284
113,Bethesda,GamesPlanetImpex,4.383487805915342
114,Better & Brighter Homecare,BBHCPL,3.2061602501464725
115,Bey Bee,Kharesiya Group,3.791439720698248
116,Bhimsen Joshi,Pankajtelevideocentre,3.2179219852863694
117,Bianyo,Stat&AR,3.9374735963990766
118,Bigsavings,Prime-Global,4.299237553475138
119,Bikestuff,AANCHAL INTERNATIONAL - Genxtra®,4.258830643693779
120,Biotique,BEAUTY WARE HOUSE,4.416137621159832
121,BitDefender,Arham World,3.5982912939574248
122,Bizarre Vogue,PRAKASH GARMENTS,3.6600223264915503
123,Bk,A-Sky Retails,3.64220106833784
124,Blackt Electrotech,B patel and brothers,3.886229135691502
125,Blossoms,market king,3.8095370548708654
126,Blue Star,Voltas shoppe,3.2100177373975525
127,BlueRigger,BlueRigger India,3.7523344209600435
128,Blueair,ModernStores2017,4.018874447046514
129,"Bluehole, Inc./SIEE",CPSTORE,4.134050053112649
130,Blufury,DB & CO.,3.4016552607337465
131,Bmax,Rapidora.,4.031874400612113
132,Boat,best_buyaxz,4.145038447456677
133,Bobo,Colorpur,3.7701019667562847
134,BodyBand,Jungleaid,4.476484443432597
135,BodyFit,BodyFit Gym,3.677260069373745
136,Bombay S.Jayashri,Inreco,2.455440225563207
137,BookMyShow,Stellr India,3.377348512795123
138,Borosil,Novelty Smart Kitchen,4.420190014725437
139,Bosch,Apex Retail,4.484487137597597
140,Bose,# Global Hub,4.339460665313541
141,Boult Audio,Appario Retail Private Ltd,3.3100413109059037
142,Boya,Roy Imaging,4.34431553466551
143,BreatheFresh,Breathe Fresh,3.0323836438230107
144,Brother,ShopForBest,4.160879396181989
145,Bufferman,Rhythm Divine,4.188194876786065
146,Bulfyss,Bulfyss® - What You See Is What You Get,2.9661365663387285
147,Burnlab,Burnlab,3.9962657925234235
148,Butterfly,"""SHOP 24""",3.5979558680364625
149,CABLEGALLERY,CABLE GALLERY,2.7161060598769127
150,CAM 360,Universal Store Shopping,4.26974324061062
151,CAPTAIN AMERICA,Bioworld,4.115468716032956
152,CERO,CERO CARE PRODUCTS LLP,3.150257549035405
153,CHANCY,CHANCY,3.723230252090243
154,CHAND SURAJ,Carry On Fashion Store,3.1691810903730824
155,CHEVIK GET ADDICTED,CheVik,4.00347007079181
156,CHOOSTIX,Winsome Pet,4.281726458645997
157,CHRONEX,Chronex,2.6414922079009955
158,COSMUS,COSMUS BAGS PVT. LTD.,3.7659789067896554
159,CP Plus,Security System n Solution,4.334874310038097
160,CRUST,Crust®,3.111026649941825
161,CVANU,Eshoppinghub,3.6930383297168623
162,CW,CW96,3.881607141619431
163,Cable World,Cable World IT®,4.350291882700022
164,Callas,Meera-Enterprises,3.511042096408475
165,Camel,Akash Enterprisess,4.345211588143193
166,Camlin,Akash Enterprisess,4.1505983358606295
167,Canon,Original cartridge store,4.893068200426682
168,Capcom,GamesTradeDelhi,4.833583735236432
169,CarSaaz,Cloudtail India,4.595330083503676
170,Cardio Max,JSB Healthcare,3.196427108228621
171,Carrier,Voltas shoppe,3.9069656019794494
172,Casa De Amor,Casa De Amor (TM),3.0498146412787093
173,Casio,MUSIC CRAFT,4.189295563659184
174,Cello,kitchenette World®🇮🇳,4.64349360241769
175,Central,GCI Network Private Limited,4.329788711189074
176,Cetaphil,Cloudtail India,4.6478721041371465
177,Chappi,Pets Kingdom,4.577816076625852
178,"Charlize Theron, Vin Diesel Dwayne Johnson Luke Evans",Reliance Home Video & Games,3.7484491349104307
179,Chicco,HUB MART,4.08575407087916
180,Choice homes,J.S.R TEXTILES,3.689373114055391
181,Chris & Kate,Chris and Kate,3.4003830677728604
182,Chris Evans,Music&more,3.634737159789845
183,Chris Hemsworth,Excel Innovators,3.42901791098316
184,Classmate,NTCmark,4.476442478319447
185,Cloth Fusion,L.R.S (INDIA),2.8008429590727117
186,CloudWalker,Cloudtail India,3.2880233958940233
187,Clublaptop,Storin® Electro World,4.242760499342678
188,CocoMoco Kids,CocoMoco Kids,4.0796075255865265
189,Codemasters,GamesTradeDelhi,4.672486451057628
190,Commlite,Soham Inc,4.378578245584167
191,Contacts,REPL Retail,3.71932083949816
192,Cooler Master,NEWTECH inc,4.104104714207538
193,Corsair,KIDA Retail Private Ltd,4.655150866162859
194,Cosco,The Prime Mall,3.9112551465741694
195,Cosmic Byte,Edinms Technologies,4.212417258448115
196,Cost2Cost1,Cost 2 Cost1,3.895472748778271
197,Coway,"Authorized seller: Kuvings, Coway & Mealthy",4.2444327927177
198,Cpixen,Cpixen®,3.3293154705465025
199,Crazy Sutra,Crazy Sutra,4.221782295518368
200,Creative's,Cloudtail India,4.035056940930582
201,Croma,Woohoo,2.957003640786158
202,Crompton,Cloud Business India,4.384662406129968
203,Crompton Greaves,AMAZINGDEALS4EVER,4.016184397379335
204,Cross,Whole9Yards,3.2289857577730507
205,CrossBeats,SellBrite Digital,4.52527405599238
206,Crucial,AIIPL_BLR,4.298215315358976
207,Curveit,CurveIt,3.3843391665807907
208,D'Addario,A B MUSICAL STORES & ACCESSORIES,4.2850033675182635
209,D-Link,besteshop,4.416813020087433
210,D3D,D3D SECURITY PVT.LTD.,3.616874435688264
211,DAHSHA,Dahsha Enterprise,3.1315780980046166
212,DCG pac,NTCmark,4.511389166878826
213,DEHMAN,MPG GROUP PVT LTD™,3.455202272508132
214,DEIN KLEIDER,Dein Kleider,4.556799268372463
215,DEVMA,divyansh enterprises ™,3.4589901213231515
216,DFS,VIJAY VALLABH (ROYALS),4.117889908843208
217,DHAGAN,Nallu Infotech,3.7628342118468128
218,DHWANI ENTERPRISE,DHWANI ENTERPRISE,4.511389166878826
219,DIXON,Cloudtail India,3.2443869652466018
220,DMC,Shop Your World Store,3.346198781956756
221,DMR,Lakshmi Electronic,3.4016552607337456
222,DOCBEL-BRAUN,Shri Navkar Surgi Trade,2.6242818163521235
223,DOCOSS,QUALITY TEAM-AMZ,3.3421371154571133
224,DRUMROAR,ZAPTIN ENTERPRISES,3.798670925468078
225,DSC,Cloudtail India,3.454333477783589
226,DZert,RUSHI ENTERPRISE,2.7800072688711506
227,Dahua,MPS PVT. LTD,3.5994771906089627
228,Daikin,AT ✓ prime distributors,4.236070371004386
229,Dash,Valentino N,2.170019696590541
230,Datawind,Bestbuyindia,3.5828391339113708
231,Deal Especial,Leather Retail,3.2473963709294154
232,DealBindaas,SPORTSCOLOUR,3.942965055290645
233,Decathlon,AVS RETAIL,4.469355040720905
234,Deep Silver,GamesPlanetImpex,4.382541420441166
235,Dell,RAHUL COMPUTECH,4.366114359093837
236,Delsey,Cloudtail India,3.4077227918229407
237,DeoDap,gayatri mobile house,3.519817542422799
238,Desktop Hub,Desktop Hub,3.1655419883347604
239,Deziredeal,SHREE KANHA TRADERS,4.085110504189982
240,Die Hard,Die Hard™ Collections,2.9085841690837664
241,Dilip Kumar,RADIO & GRAMOPHONE HOUSE,2.267092544200345
242,Discount Retail,Discount Retail,3.760665758339288
243,Dish TV,skyenterprises2020202,4.434616195077764
244,Disney,LSSales,3.85029243791508
245,Divine Casa,Cloudtail India,4.2245142900970825
246,DivineXt,Metro Enterprise,3.1868615339747715
247,Docooler,FURBUP,3.9973425570759935
248,Dr Trust,NurecaInd,3.770987321650746
249,Dr. CHARCOAL,AHPL,3.679755012213748
250,Dr. Copper,Dr.Copper,3.646658285793532
251,Dragonwar,TOTAL MOBILE AND GAMING,4.320540825387898
252,Dragonwar Emera ELE-G11 Gaming Mouse (Black),Appario Retail Private Ltd,3.1655419883347595
253,Dronean,Tokari Wala,2.898316306843116
254,Drools,Pets Kingdom,3.9951782345444418
255,Drumstone,TWOGOOD ENTERPRISES,3.795413570754136
256,Duckback,B L RUBBER INDUSTRIES PVT LTD,3.604614566397513
257,Dussledorf,RnR Incorporation,3.0991578147427186
258,Dyson,Dyson India,3.521803663118406
259,EASEZAP,Aaj Jio,4.130415209238122
260,EASY BREATHER,SHAYONA CREATION,4.142553318993834
261,EGate,Appario Retail Private Ltd,3.673097487595863
262,ELLONIA,Ellonia,4.146893448766654
263,Eagle Eye Gadgets,Tobegift,3.7883166042460017
264,Ealth Kart,suraaj fashions,3.5130663214637634
265,EasyHealth,EasyHealth,3.12161502576764
266,Ebee,Ebee®,4.2588939624426505
267,Einstein Box,Cloudtail India,3.435747284350532
268,Electomania,ELECTOMANIA®,3.7602567290000803
269,Electrobot,M-TECHNO,2.9448542450359905
270,Electronic Arts,Geek-O-Tech,4.6048205386439305
271,ElectronicsArtGalleryEAG,TryoKart,3.478815490140081
272,Elements,Acharya Ayurveda,2.18036065424508
273,Elevea,Elevea™ Elite Shope(1Year Warranty Promise),3.3618252489892497
274,Embroco,VIJAYSHEELA TEXTILES,2.589859692556618
275,Embroiderymaterial,Eagle Network Supply Pvt. Ltd.,3.3435326170317463
276,Energy Sistem,Gadget House India,3.450100024057844
277,Enraciner,Premium-Design,2.9108133685752406
278,Envent,Sujav Consultants,3.249566154577206
279,Epson,T M S,4.345211588143193
280,Epson originals,ONLINE ALL IN ONE SHOPPE,4.542788062870205
281,Eureka Forbes,KK eStore,3.8286442836153305
282,Eveready,A..S,4.332492235511786
283,Everycom,Everycom Electronics,2.9094369630923804
284,Ewan McGregor,Excel Innovators,4.029067916291953
285,EzLife,click.n.save,3.4046371180131936
286,Ezee,HR ENTERPRISES.......,3.3512954452623926
287,F Gear,F Gear,3.582143371573721
288,FASTPED,jayaswal marketing,3.665339388759243
289,FD,Meera-Enterprises,3.2265538904144813
290,FINICKY-WORLD,FINICKY-WORLD,3.2790670044099532
291,FIT PICK,Shorey YogAyush,3.07781275776365
292,FORESTONE,ZAPTIN ENTERPRISES,4.120922217051306
293,FREDI,ElectronicsArtGalleryEAG®,3.4278943248157248
294,FREDI HD PLUS,FREDI HD PLUS,3.9574463710667795
295,FREEMANS,Ekart4u,4.191245704137208
296,FULLY,Fully®,3.9138274850120585
297,FUR JADEN,FUR JADEN,3.655753487820312
298,FUSION5,Fusion5 Tablets,3.8121268855211854
299,FabSeasons,Cloudtail India,4.372130988609314
300,Faber Castell,Rohit enterprises2196,4.480224841676558
301,Faber-Castell,komagal Private Limited,4.380145969331883
302,Familykart India,Familykart,3.793684183780531
303,Fansport,Fansport,3.2360231600428153
304,Farraige,Farraige Official,3.6379280978665016
305,Fashion World,Fashionn World,3.4650808558286568
306,Fastrack,Cloudtail India,3.4392143780824
307,Fdp,VTECHCOM,3.6924789094092
308,Fendo,Avon Lifestyle pvt ltd,3.500539689446274
309,Fergal Reilly,Pritam Music Pvt. Ltd.,4.640866501386018
310,Finer,finer enterprises,2.977435946296267
311,Fisher-Price,BABY STATION,3.725679660674518
312,Fitbit,ShopUSAIndia,4.135390539958762
313,Fitkit,vikhu enterprises,3.8741995517692582
314,Fitlethic,Evizo Direct,3.5167197727517223
315,Fitster5,White Label Ventures LLP,2.955923126897872
316,Fitsy,AND Retails,3.7158200673382384
317,Flash,VictorryHobbies,3.0637078416384536
318,Flintstop,Ambika Gems and Diamond,4.3817850063317865
319,Flow,Meera-Enterprises,3.0110694024751936
320,Foodie Puppies,Foodie Puppies®,2.7430451450378293
321,Formula 1,AuTo   MoTo,3.876943083205353
322,Foscam,price..perfect,3.9441031301896046
323,Foxin,QwickDeal Online Shopping Private Limited,3.709582098389493
324,Frantic,Frantic Trading,2.7006867003323056
325,FreshDcart,Freshdcart,3.621534586341742
326,Frizzer,Frizzer.,2.7516371522656584
327,Frontech,SHINEDEALS,4.235132424998429
328,Fuji,Bellstone Trading,4.797784338752253
329,FunKo,Cloudtail India,4.310516409242799
330,Fundoo Labs,Fundoo Labs,2.9249881065165715
331,Funskool,Kid's World India,3.9563615017153446
332,Funskool-Asmodee,M/s Gifts World,4.761713148843001
333,Fur Jaden,Cloudtail India,3.3919620267420405
334,Futurekart,Parijata,4.0135362349696235
335,GADGETS WRAP,SHOE HOME,3.1973891196288133
336,GANDIVA,VIKAS COMPUTER,3.6420430621448814
337,GIZGA essentials,iStuff365,3.82860341669098
338,GJ,Kasnox,4.049262462020265
339,GLEAM,GLEAM BAGS,3.6244389043778495
340,GLUN,E MALL INDIA,3.557812489126898
341,GM,Pilot Sports,4.278606614117058
342,GOCART WITH G LOGO,Gocart,3.0590958447843772
343,GODS,RoadGods,3.368566392241915
344,GOELECTRO,goelectro,2.452890100243035
345,GREAT MASTER,Aaina Enterprises,3.5657803552146534
346,GTC,Guruji Trading Company,4.0689592571020095
347,GYRONAX,WORLDWIDE IMPORTERS,3.4976959795270903
348,GZQNAN,AmazingShop,3.3253594043146286
349,Gadget Hero's,Gadget Hero's ™,4.034698827163856
350,Gadget-Wagon,4V international,3.614163929600642
351,Gajraj,Gajraj,2.546712498443964
352,Gala,New Age Enterprises,4.003059873324588
353,Game of Thrones,Redwolf T-shirts,3.567015261607364
354,Ganesh,Rockingdeals,4.141504236094804
355,Garmin,Cart2India Online,3.8671514778705585
356,Gear,Bag & Bags,3.556104613564143
357,Generic,M MEGA MART™,4.656629107576059
358,Generic (unbranded),AruTrade,4.7879841591597385
359,Generic Unbranded,FOOD AVENUE,3.7846389593181513
360,Genius Box - Play some Learning,LITTLE MILLENNIUM EDUCATION PRIVATE LIMITED,3.0581053476490117
361,Genric,look_new,3.622024910089003
362,Getko,BIGSALESINDIA,2.5415606436862985
363,Gigabyte,Lightning_Dealz,4.040558237341278
364,GoTrippin,GoTrippin,4.080669894770779
365,God Gift,Nimbose®,4.879932695268313
366,Godrej,KULDEEP CAR ACCESSORIES,4.420190014725437
367,Godrej Security Solutions,Security System n Solution,3.337455459641425
368,Godrej aer,Crozon,4.192507925313727
