,Seller,0
2181,SmashDeals,3
2182,Snapzon India,1
2183,Soccer International Private Limited,1
2184,Soft Care,1
2185,Soft Mantra Technologies Limited,1
2186,Softcloud Retails,1
2187,Sogani Coir Foam,1
2188,Soham Inc,1
2189,Soniya  Infotech,1
2190,Sonkariya,1
2191,Soundscape,1
2192,Source India Store,1
2193,Special Deals,1
2194,SpectrumEnterprise,1
2195,Spicestyle Powered by SpiceJet Ltd.,1
2196,Spike Fitness,1
2197,Sports Fuel,4
2198,Sports Fun,1
2199,Sports Hub 1448,5
2200,Sports Hubb,2
2201,Sports ISLAND,1
2202,SportsFitt,1
2203,Sportzbazaar,1
2204,Sprinfo,1
2205,Sree Info Enterprises,1
2206,Sri Ganesh enterprises,2
2207,Sri Sai BalajiMedicals,1
2208,Sri Sai Santhy Enterprises,1
2209,Sri balaji fashion,1
2210,Sri datta enterprises,3
2211,Sri dattganapathi agencie,1
2212,Srisha Traders,1
2213,Standard Fitness,1
2214,Star Network Enterprises,1
2215,Star Peripherals,1
2216,Starbella,1
2217,StarkeConnect,1
2218,Starmark,6
2219,Starone Electronics,1
2220,Stat&AR,1
2221,Steelbird YooShopper,1
2222,Stonehenge Retail,2
2223,Store IN,1
2224,Store108,1
2225,Store2508 Official,1
2226,Storin® Electro World,3
2227,Story @ Home,1
2228,Street27,2
2229,Stvin®ASkyl®(OFFICIAL STORE),1
2230,Style Homez,1
2231,Stylish Flip Keys,1
2232,Subh Sale,2
2233,Subho Computers,1
2234,Sudha creations,1
2235,Sugovind Agencies,1
2236,Sujav Consultants,1
2237,Sukanya Bags,1
2238,Sun Enlist Enterprises,1
2239,SunRobotics,1
2240,Sunny Appliances,1
2241,Suno India,1
2242,Sunshine Gifting,2
2243,Sunshine51,1
2244,SuntopBags,1
2245,Super strength International,1
2246,SuperSonic39,1
2247,Superhero Toy Store,1
2248,Supersure,1
2249,Supply Mart,1
2250,Support 24X7,1
2251,Supreme Mall,1
2252,Supreme Sports & Uniforms,1
2253,Supreme-Mart,4
2254,SupremoEXIM,1
2255,SuprrDeal,1
2256,Suraj Metals,1
2257,Suravi Computer,1
2258,Surgical Distributor,1
2259,Suvidha Mobile,1
2260,Swadeshi Megamart,1
2261,SwastikEnterprise,1
2262,SwastikTraders,1
2263,Swiss Military,1
2264,T M S,1
2265,T for TOYS,1
2266,T-TOYS Udaipur,1
2267,T.D.ENTERPRISE,1
2268,TAC,1
2269,TAMS Overseas LLP,2
2270,TANU ENTERPRISES.,1
2271,TATA SKY LIMITED,1
2272,TECH KLEEN,4
2273,TECHLOGICS-BLR,1
2274,TECHNOLOGY GURU,1
2275,TECHWORLD COMPUTER SARVICE,2
2276,THAT's FOR ME,1
2277,THE CHENNAI STORE,1
2278,THE EVEREST DISTRIBUTORS,1
2279,THE HASH STORE,1
2280,THE LEATHER SHOP,1
2281,THE SHOPPERSLOFT,1
2282,THENIRVANASHOPS,1
2283,THEYOGI,3
2284,TIARAZ,1
2285,TINY TOES,9
2286,TIRUPATI BALAJI TRADING CO.,1
2287,TITAS CONSULTANCY,2
2288,TODAY'S DEAL,5
2289,TOOL ZONE,1
2290,TOPSPOT,1
2291,TOTAL MOBILE AND GAMING,5
2292,TOTAL SPORTS AND FITNESS,1
2293,TOUCHOFF,1
2294,TOYGENIE,1
2295,TOYMART (TANMAN™ ),5
2296,TPS Technologies,3
2297,TRADE FAIR,1
2298,TRADE LINK.,1
2299,TRENDING YOUTH TECHNOLOGIES PRIVATE LIMITED,1
2300,TRENDZ DECOR,1
2301,TRP TRADERS,2
2302,TRUCARE INDIA ( Authorized Seller),1
2303,TRUESTOPSHOP,1
2304,TRUST DEAL,1
2305,TRY TO FLY,1
2306,TS RETAILER,1
2307,TT-Enterprise,1
2308,TWOGOOD ENTERPRISES,2
2309,Tabela Shop,1
2310,Tags Lane,1
2311,Taily Affairs the pet store,1
2312,Takeoff Sports,1
2313,Tanvi Manocha,1
2314,Tapasya Sports And Fitness,1
2315,Tara Traders,1
2316,Tech India Infocom Pvt. Ltd.,1
2317,Tech enterprise,1
2318,TechCommerce,2
2319,TechExperts,1
2320,TechEzy,1
2321,Techcom Infosys,1
2322,Techie Deals,1
2323,Technical Hut,1
2324,Technicom Network,1
2325,Techno Guru,2
2326,Techno-Krat,1
2327,Technogazet,7
2328,Technology Ahead®,1
2329,Technology Gizmo,2
2330,Technoworld Automation,3
2331,Technuv Online,1
2332,Techretailer,1
2333,Techsun Mart®,1
2334,Techtonics India,1
2335,Techyons Solutions,2
2336,Telecom Star,2
2337,Tetromine,2
2338,Textech Solutions,4
2339,Thanukkodi Adithya,3
2340,That one place,1
2341,The Accessories Mart,2
2342,The Baby world,2
2343,The BalajiFab,1
2344,The Blush Cosmetics,1
2345,The Camera Store,2
2346,The Computer Mart,10
2347,The Connections,1
2348,The Cotton World,1
2349,The Different,2
2350,The Discount Deals,3
2351,The Entertainment Store Bangalore,1
2352,The Foam Factory,1
2353,The India Stores,1
2354,The Kingdom of Ecomm,5
2355,The MobStore,1
2356,The Moja Club,1
2357,The Online Home Store,1
2358,The Orange Store Dehradun,1
2359,The Paper Palette,13
2360,The Paramount Trade,1
2361,The Prime Mall,8
2362,The Quality eStore,2
2363,The Real Value,1
2364,The Reasonable Price Products Store,1
2365,The Sport Mall,1
2366,The Style Referee,3
2367,The SweatShop,1
2368,The galaxy music,1
2369,The office Shop,1
2370,The-EStore,7
2371,TheElectricOnline,1
2372,TheFactoryDepot (USA),1
2373,TheGlobalGinnie,1
2374,TheIndianRoyal,1
2375,TheLapStore,1
2376,TheMichelinShoppe,1
2377,TheSportsBoutique,1
2378,TheWatchAgency,1
2379,Thok Adda,1
2380,Thuse Elektronics Pvt Ltd.,1
2381,TigeRetaiL_SLP,4
2382,Tina & Diya Computer,2
2383,Tipshi online,1
2384,Tirupathi enterprises.,1
2385,Tiyana Incorporation (INDIA),1
2386,TnW Enterprises,1
2387,Tobegift,2
2388,Tokari Wala,1
2389,Toodlee,1
2390,Tools Centre,1
2391,Tools-4-All™,1
2392,ToolsMart,2
2393,Top sale,1
2394,TopShelfs,1
2395,Topsons,1
2396,Total World,1
2397,Toycra,2
2398,ToysBuggy,1
2399,ToysMart India,1
2400,Toywale,1
2401,Trade Globe,2
2402,TrademarkZone,2
2403,Tradeplus Marketing,1
2404,Traders JM,1
2405,Traders of India,1
2406,Trades Global,1
2407,TrajectoryStore,1
2408,Trance Home Linen,1
2409,Traniac,1
2410,Trans Innovators,1
2411,Travelgasm,3
2412,Traveller Choice,2
2413,TreasureRetail,1
2414,Trends India International,1
2415,TrendyBuy,1
2416,Trendz Bags,1
2417,Trendz Handpicked,1
2418,Trexee Enterprises,2
2419,TriColor,1
2420,TriTech International,1
2421,TridevEnterprises,1
2422,Trinity Jeans Company,1
2423,Triple Point Ventures,1
2424,TrishaEnterprises,2
2425,Triveni E-Cart,1
2426,True Beats,2
2427,True Empire,1
2428,True Mobile Bazaar,1
2429,Trust Retail,5
2430,Trust Zone 7,1
2431,Truvon services,1
2432,TryoKart,1
2433,Tulip Sales,1
2434,Tulsi Care,1
2435,Tupp Deals,1
2436,Tway Enterprise,1
2437,Typhon 1,1
2438,U S Computers,1
2439,UAE-mart,2
2440,UK TRADERS-18,1
2441,UM Info World,2
2442,UMATIC DATA PROCESSINGS PVT. LTD,1
2443,UNITED SALES,1
2444,UNITED. BROTHERS,3
2445,UPVsales,1
2446,URBAN ACCESSORIES,2
2447,URBRIGHT,1
2448,UTKARSHENTERPRISES,1
2449,UTTAM TOYS™©,1
2450,UZFAR TRADERS,1
2451,UjjwalTrading,2
2452,Ukrit,1
2453,UltraMedia,1
2454,Unique Technic Ganesh Sah,1
2455,Unique enterprise  mittal house,1
2456,Unique world store,5
2457,Unique_Product,1
2458,United Surgical Traders,2
2459,Unitoys,1
2460,Universal Business Company,1
2461,Universal Store Shopping,1
2462,Unnati International,1
2463,Upix Inc.,1
2464,Usha Ayurvedics,1
2465,Utekar Fisheries Private Limited,1
2466,Uthratools,1
2467,V K Bartan Bhandar,2
2468,V K Steels,2
2469,V.P JAGIDAR,1
2470,V.T.I.,1
2471,VA ENTERPRISE,1
2472,VADMANS CONGLOMERATE PVT LTD,2
2473,VAIBHAV TRADERS1,1
2474,VANEX,1
2475,VANSH ENTERPRISES_INDORE,1
2476,VARDHMAN FANCY STORE,1
2477,VARNI FASHION,1
2478,VASUDEV COMMODITY,1
2479,VB Retail,1
2480,VCARESYSTEMS,2
2481,VEDA ENTERPRISES BABY & KIDS STORE,1
2482,VEDANSH ONLINE,1
2483,VEMAX,1
2484,VERTI,1
2485,VESS Groups,1
2486,VGM INTERNATIONAL,1
2487,VIDHAN TRADERS,1
2488,VIDISHA CHOCOES & KRAFTS,3
2489,VIJAY DISTRIBUTORS,1
2490,VIJAY VALLABH (ROYALS),4
2491,VIJAYSHEELA TEXTILES,1
2492,VIKAS GIFT GALLERY,1
2493,VINAY  SALES,1
2494,VINAYAK.,1
2495,VIRENDER ENTERPRISES,1
2496,"VISHWAKARMA ENTERPRISES,",1
2497,VISHWAKARMAENTERPRISES,1
2498,VK MARKETING INDIA,1
2499,VNSM,1
2500,VNV Elite Store,2
2501,VOTNOT™,1
2502,VPLONLINE,1
2503,VR TAMARAI,1
2504,VR-ENTERPRISE,1
2505,VSK Seller,2
2506,VSM INDIA,1
2507,VSS Inc,1
2508,VTECHCOM,2
2509,VTM_SLP,1
2510,VW Retails - Authorised INTEX Distributor,2
2511,VYBBA,1
2512,VYSSPORTS,2
2513,Vaein Enterprise,1
2514,Vaibhav_Creation,1
2515,Valentino N,1
2516,Value Retail,1
2517,ValueShop,1
2518,VanshEnterprises,2
2519,Vectora_Co.,1
2520,Vee Ess Sales Pvt Ltd,1
2521,VeeDee,2
2522,Venus Retail Rajiv,1
2523,Vibrant-Global,1
2524,Vicky Enterprises,1
2525,VictorryHobbies,1
2526,Vijay Enterprises JP,1
2527,Vijaybaghouse,1
2528,Vikas plastic,1
2529,Vinay cosmetics,1
2530,Vinayak products,1
2531,Vinod Stationers,1
2532,Vipito,1
2533,Viva Enterprise Charotar,4
2534,VoilaRetail,1
2535,Voltas shoppe,4
2536,VoltsAmp,3
2537,Vui Online,1
2538,Vyson,1
2539,WALLMARTBAGS,1
2540,WALTZER INDIA PVT. LTD,1
2541,WASAN EXPORTS,1
2542,WELCARE INDIA,1
2543,WELLON OFFICIAL STORE,3
2544,WELROCK,1
2545,WESTERN INSTRUMENTS,1
2546,WHITE POPCORN 🍿,1
2547,WHOLESALE BUCKET,1
2548,WILLIAM PENN PVT LTD,1
2549,WMCART™,1
2550,WOOF PET SHOP,1
2551,WORLD PLAZA,1
2552,WORLDWIDE IMPORTERS,1
2553,WS MART,4
2554,WaitRose,2
2555,Walkin Bazar,1
2556,Wall Attraction,1
2557,Wani Kitchen India,1
2558,Wave Mart,1
2559,Wayona,1
2560,We Love Pet Shop,1
2561,Weber Enterprises,2
2562,Weird®Store,1
2563,Welcome RO And Appliance Co.,1
2564,Weshop*,1
2565,White Label Ventures LLP,1
2566,Whole9Yards,1
2567,WildHorn India,1
2568,Wildstags,1
2569,Winmark Sports,2
2570,Winsome Pet,1
2571,Wish Cart,2
2572,Wish Master,1
2573,Wishndealcom,1
2574,Wizplex,1
2575,WonderKart®,1
2576,World Motion,2
2577,Worldwide_Store,2
2578,Wright Sense,2
2579,XERGY®,1
2580,XForeLYz,1
2581,XPRESS RETAILS,6
2582,XZARVIS INFO SOURCE INDIA PRIVATE LIMITED,1
2583,Xogger Enterprises,1
2584,Xoopack,1
2585,YAMAMA,1
2586,YASH      ENTERPRISES,1
2587,YASH ENTERPRISES,1
2588,YATEE TRADING COMPANY,1
2589,YDV enterprises,1
2590,YI Technology Private Limited,1
2591,YOOHELMETS,3
2592,YOU & ME NX,1
2593,YST SALES,1
2594,YahOoO,2
2595,Yash & Priya,1
2596,Yashi Multi Solutions,1
2597,Yellow Weaves,1
2598,YesBuy,1
2599,Yesbayas Enterprises,1
2600,Yogasya Wellness,1
2601,Yogeshwari Enterprises Goa,1
2602,Young Image,2
2603,Youth Essentials,1
2604,Youth store.,1
2605,YusufEnt,1
2606,Yuva Fashion Store,2
2607,Yuvraj Stores,1
2608,Z's Sales & Service,1
2609,ZAPTIN ENTERPRISES,6
2610,ZARPAT INDIA,3
2611,ZERNA,1
2612,ZHAPAAK BUSINESS SOLUTIONS PRIVATE LIMITED,1
2613,ZIP KART,3
2614,ZIP ZUP,1
2615,ZOFEY,2
2616,ZYDUS TECHNOLOGY,1
2617,Zollyss®,2
2618,Zoroo India,1
2619,Zupitex,2
2620,Zuru Bunch,1
2621,a to z appliances.,1
2622,aabhu,4
2623,aerofresh,1
2624,aftab alam handloom,1
2625,aggarwal enterprises25,1
2626,ak club,1
2627,alfisha,1
2628,amarvagroup,1
2629,amazeelectronicsstore,1
2630,amezonsales,3
2631,amit car accessories aurangabad,3
2632,anipet products,1
2633,ankit computers.service,1
2634,anne -kee™ (homecraft2010),1
2635,apex computer & telecom,1
2636,aqua fine,3
2637,asg fitness,2
2638,autumnfare,1
2639,avsstore,2
2640,balaji enterprises 1,3
2641,bazar-e,1
2642,best rate store,1
2643,best_buyaxz,6
2644,besteshop,2
2645,bhavyaenterprise24,2
2646,big zoom,1
2647,billionBAG,1
2648,bnwinternationl,1
2649,borr,1
2650,buyingideaz,1
2651,cables kart,2
2652,car square,1
2653,care and cure medicose,2
2654,cartup.,1
2655,charmi-ecommerce,1
2656,city medical,1
2657,click.n.save,2
2658,clickforsign,1
2659,clifoxcorp,1
2660,cloudsaledelhi,1
2661,coverReady,1
2662,creative_adda,1
2663,cureandcare,1
2664,dark collection zone,1
2665,dealerkart,2
2666,deals bazzar (  ZZ ZONEX® ),1
2667,deekshita homokart llp,1
2668,dharm enterprises,1
2669,dhrishti collection,1
2670,digitalization,1
2671,digiwebit-21,2
2672,dimpi enterprises,2
2673,divyansh enterprises ™,1
2674,dove mega net,2
2675,duodain,1
2676,e Space India,1
2677,e-SiGNiFY INDIA,1
2678,e-square systems,1
2679,e4u,1
2680,e9accessories,7
2681,eClinic,5
2682,eComm Velocity,1
2683,eCosmos By Royal IT Official,1
2684,eHUB®,1
2685,eKitchenVentures,2
2686,eRetail Inc..,1
2687,eSampark,1
2688,eStofers®,1
2689,eS³kube,1
2690,eTRADE,1
2691,eTrade Marketing P Ltd,1
2692,eValuemart®,3
2693,eWizard,1
2694,ease shop,1
2695,ecomstars,2
2696,efforwave™,1
2697,electronics junction,4
2698,electroworld5,1
2699,embroidery material,1
2700,estore9,1
2701,fakhir associates,2
2702,finer enterprises,1
2703,flmas,1
2704,fortunext,1
2705,galaxyenterprisesnew,1
2706,game_shopee,3
2707,ganesham agency,1
2708,garg trading com.,4
2709,gayatri mobile house,2
2710,gifts inn,1
2711,golden dreams,2
2712,goowy,1
2713,gostuffs,3
2714,gupta helmets,3
2715,gupta sales corpoeation,1
2716,guru nanak sales,4
2717,happytech ® by balaji creation,1
2718,harikrishnavilla®,1
2719,harmani india,1
2720,harshita_e-trading,1
2721,hgiftmart,1
2722,hk shop,3
2723,hreedhan enterprises,2
2724,i-Heir® Official,1
2725,iBhejo,11
2726,iBoat (India),1
2727,iFuture-Technology,1
2728,iLogistics Online,1
2729,iShake,1
2730,iStuff365,1
2731,iTECHNOLOGIES,1
2732,iVoltaa Official,1
2733,ibcstore,1
2734,imobile point,1
2735,indianseller4u,2
2736,insastacom,4
2737,iphotostore,1
2738,it store,3
2739,itglobal,1
2740,jain1hub,2
2741,janakenterprises,1
2742,jannatinfo,1
2743,jayaswal marketing,1
2744,jnr electronics,1
2745,jopasucarcare,1
2746,k3_stores,4
2747,kaiway computer,1
2748,kathiriya's,1
2749,keisham marketing,1
2750,khodiyarmart,1
2751,kiddocart,1
2752,king shine industries,1
2753,kitchen bazaar,1
2754,kitchenette World®🇮🇳,1
2755,kitchenonline,1
2756,klickus. com,1
2757,kmltail,1
2758,knickknack42,2
2759,komagal Private Limited,2
2760,kookaburra india,1
2761,kpc,1
2762,krishna-accessories,3
2763,krishnaa sales,4
2764,laboratorydeal tamil Nadu,2
2765,laptop house,3
2766,lasaani sales corporation,1
2767,lavish Collections,1
2768,legend aqua tech,1
2769,liveagency,1
2770,look_new,1
2771,lovelyhome Mall,1
2772,lowprice bazaar,3
2773,makeURkart,4
2774,mamaearth,1
2775,mannat creation,1
2776,market king,4
2777,mayur    traders,1
2778,medley musicals,1
2779,mega tech world,1
2780,micropower,3
2781,mishu store,3
2782,mobile gear,1
2783,mobile house baner,1
2784,mobile worldz,1
2785,mtuggar,1
2786,my e-world,1
2787,my gizmos,2
2788,mySPOGA..,2
2789,myradiant,1
2790,narang associates,1
2791,neelam sales corporations,1
2792,nehra sports,2
2793,niceeshop,1
2794,ogre,1
2795,om steels,1
2796,omax health care,1
2797,omega stores,1
2798,one-stop shop,1
2799,online Retail,1
2800,online d store 21,1
2801,onlinebee,3
2802,origami So soft,1
2803,pa sales,1
2804,pacificshop2014,1
2805,padhis enterprises,1
2806,palia crockery & gift centre,1
2807,parvika kitchen,1
2808,pathak sales,1
2809,plusepoint,1
2810,plutofit®,2
2811,pocin,1
2812,premium e-retailors,1
2813,price..perfect,10
2814,priuscorporation,1
2815,priyarchika hub,2
2816,quick Store,3
2817,raar labs,1
2818,rajendra seat cover,1
2819,reefor,1
2820,rjsales,1
2821,roboCraze,1
2822,rudra trading co.,1
2823,saara samaan,2
2824,sachdeva enterprises t,1
2825,saco,1
2826,sah enterprises,1
2827,sailcom,1
2828,saini collections,1
2829,sales zone,1
2830,samraj institute,1
2831,san system,1
2832,sargiya enterprises,1
2833,sb18,2
2834,secured&easybuy,3
2835,seller kart,1
2836,shanti enterprisess,1
2837,sheela textiles,2
2838,shiv sakti agency,1
2839,shiva traders jind,1
2840,shivani fashion,1
2841,shivya home,1
2842,shop 24x7,1
2843,shop bucket,1
2844,shopeza®,1
2845,shopiesta,1
2846,shopingine,2
2847,shopping24x7,6
2848,shoppingzone,1
2849,shree nakoda traders,2
2850,shreeganeshmarketing89,1
2851,shri ram raja,1
2852,sim sim world,1
2853,skmotormad,1
2854,skyenterprises2020202,1
2855,skytech medical and surgical devices,1
2856,slidecart_electronics,1
2857,smartdeal9,1
2858,softspun,1
2859,sportscity,1
2860,sportzcomplex,2
2861,sripadmaelectronics,1
2862,ssolutions,1
2863,star enterprises963,1
2864,stellarsquare,2
2865,store of Gifts,2
2866,styledose,1
2867,supreme ro system,2
2868,suraaj fashions,1
2869,teleform,4
2870,theWinkel,3
2871,theskinstore,2
2872,thevaluestore,1
2873,tolbhav,1
2874,triveni communication,1
2875,ttoys bazar pvt ltd,1
2876,udal solution,2
2877,universal tech accessories,1
2878,ur-kidstore,1
2879,vaishnavi traders,1
2880,vardhaman infotech,1
2881,vasilaenterprise,1
2882,vikhu enterprises,1
2883,vinod store,1
2884,vs mark,1
2885,weptpro,1
2886,winning stroke,2
2887,wisechase,3
2888,woody international,1
2889,world2home,1
2890,wowdog,3
2891,www.indoselection.com®,2
2892,xtronicsapp,1
2893,y&n,1
2894,yashnetbusiness,2
2895,yashraj Enterprises Indore,1
2896,yatin fab,2
2897,zenithtraders,2
2898,zpul ssports,3
2899,ǤᗴᑎᗝᑕƳ丅ᗴ,1
2900,मी-BOSS,6
2901,𝕿𝖍𝖚𝖓𝖉𝖊𝖗𝕶𝖎𝖓𝖌,1
